Job Title,Company,Post Status,Job URL,Job Details
Data Analyst,-, - Today,https://pk.indeed.com/viewjob?jk=4848f06abe0d4ddc&from=serp&vjs=3,"We have openings for Data Analyst with at least 1 year of experience. Apply if you are passionate about new technologies and have the required experience. We intend to hire a person who have good communication skills.,Responsibilities:,Qualifications:,Benefits:"
Python Backend Developer,"Optimizeall,-", - 12 days ago,https://pk.indeed.com/viewjob?cmp=Optimizeall&t=Python+Backend+Developer&jk=a4772316c79f07ab&vjs=3,"WE ARE HIRING!,PYTHON BACKEND DEVELOPER,Project Based Services Required.,4 to 5 years of software development experience.,Design, build and maintain efficient, reusable, and reliable code.,Experience with Laravel PHP FRamework as well as Node.JS will be a plus.,Expert in Python specifically Django and Flask.,Proficient understanding of code versioning tools such as GIT.,Freelancers are encourged to apply.,Job Types: Full-time, Contract,Pay: Rs30,000.00 - Rs40,000.00 per month,Experience:,Python Back End Developer: 5 years (Required)"
Sr. Python Developer,-, - 14 days ago,https://pk.indeed.com/viewjob?jk=f90f4e86a25ac7b9&from=serp&vjs=3,
Odoo/Python Developer,"WADIC,-", - Today,https://pk.indeed.com/viewjob?cmp=Web-Applications-%26-Data-Integration-Company&t=Odoo+Python+Developer&jk=5182b8395205e9f6&vjs=3,"We are Hiring---,Odoo Developer,We deliver our customers peace of mind every day by helping them protect what they value most. Our passion for placing the customer at the center of everything we do is driving a transformational shift at WADIC,Operating as an Agile team as a USA based company, we are on the front edge of an IT transformation for how people work and deliver solutions. Our passion for placing the user at the center of everything we do is driving our incremental approach to software feature development and delivery.,About the job: ,· Providing consultation and support for software products including documenting and troubleshooting issues.,· Responding to technical problems or questions.,· Analyzing our requirements, installing and configuring our Odoo Apps according to our needs.,Requirements,· The Python Odoo Developer is a full stack developer who will be responsible for maintaining, upgrading and developing the company's ,Odoo ERP system,.,· Review, Analyze, Modify, Create source code for Odoo.,· Debug existing product bugs.,· Develop, test and support new custom modules,· Collect and analyze business requirements.,· Transform business requirements into software design.,Required Skills and Experience,· Minimum 3 years’ experience in developing and maintaining ,Python code,· 3+ years of experience with ,Python and Odoo development, preferred,· Must have Experience to work in object-relational databases (postgresql),· ,ERP, experience a plus,· Knowledge of business and accounting workflows,· Creative mindset,· Meticulous attention to detail and accuracy.,· Salary will be negotiated according to experience.,Job Type: Full-time,Pay: Rs40,000.00 - Rs60,000.00 per month,Experience:,Education:,Work Remotely:,Odoo ERP System, Python Code, Python and Odoo development: 2 years (Preferred),Bachelor's (Required),Temporarily due to COVID-19"
Python Developer,"Intelligent Brain Solution,-", - 30+ days ago,https://pk.indeed.com/viewjob?jk=0bcae4fea0495f35&from=serp&vjs=3,
"JUNIOR TRADER / ANALYST - Dubai, UAE","Cobblestone Energy,-", - 1 day ago,https://pk.indeed.com/viewjob?jk=499eff9e5f3d4cf6&from=serp&vjs=3,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE,
Starting Remuneration of 30,000 USD per annum, 0% Tax environment.,
Fast progression for strong performers.,
Are you bright, highly motivated and commercial-minded with a growth mindset?,
Company description,
Energy in one form or another is fundamental to almost all of the world's economic activities. By understanding the demand, supply, and logistics of these commodities, we can better understand the world. We specialise in the proprietary trading of the short-term wholesale electricity markets across Europe. We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country. Technology and risk management form the backbone of our business,
Commercial Development Programme,
The Cobblestone Commercial Development Programme is your passport to an exciting and challenging career in the world's commodities markets. It is a 12-month programme designed to give you exposure across trading and analytics to help you develop the tools you need to be a highly effective team member. We are searching for exceptional graduates who thrive on intellectual challenges and can provide creative solutions to complex problems. This is a role for highly analytical and sharp individuals with strong numerical ability. One must be able to learn and think quickly. Opportunity is unlimited for exceptional talent.,
We are offering graduate vacancies in our, Dubai office, starting throughout 2020.,
Tasks/responsibilities:,What we look for:,Our hiring processes,
After your application been added to our pipeline and evaluated, you will be invited to do an online psychometric assessment that will evaluate your numerical ability.,
Upon successful completion of these, you will be invited for a series of interviews with members of both our HR and commercial team.,
Before full time admission onto our Commercial Development Programme (CDP), all finalist candidates are invited to attend a two-week Cobblestone Training Programme (CTP). CTPs are carried out at either our main Dubai office or our partner location in Kampala. This is determined by our admin depending on where you are located.,
We shall cater for everything - Flights, accommodation, paper-work and expenses.,
During the Training Program, you work will on real-life tasks and situations with other members of the commercial and technical team. The goal is to enable you to learn as much as possible within the period while giving you the opportunity to shine in an area tailored to your strengths. You are also evaluated for cultural fit, aptitude, and your ability to work with others.,
Following this, you will then be offered a full-time role on the CDP."
Python Developer,-, - 10 days ago,https://pk.indeed.com/viewjob?cmp=Amco-IT-Systems&t=Python+Developer&jk=b137f877bae22e6a&vjs=3,"We are looking for Python Developer / Django Developer,Excellent understanding of Python and strong knowledge of various Python Libraries, API's and tool kits;,Web-scraping experience using Python and associated libraries/tool kits;,JSON/XML, HTML, CSS, and JavaScript skills, including JQuery;,Experience with using Selenium or similar tools;,REST full web service development;,Understanding and experience of the software development life cycle and code repositories such as git, including branching and merging flows;,Deep understanding of how to write maintainable code and the importance of testing;,Experience writing unit tests;,Excellent English language communication skills, both verbal and written, with the ability to communicate effectively with a technical and non-technical audience.,Job Type: Full-time,Salary: Rs75,000.00 - Rs100,000.00 per month,Experience:,Python: 2 years (Preferred)"
12 x Javascript Trainees,-, - 8 days ago,https://pk.indeed.com/viewjob?jk=1c263563636fc3e0&from=serp&vjs=3,"
,Sound concepts of Algorithms, OOP, Databases, Requirement Engineering and good Logic Building.,
,Good English communication and writing skills.,
,Sound concepts and Knowledge of front end javascript frameworks like angular and react, along with any backend web development technology will be considered as a plus.,
"
Python Developer,"Broadstone technologies,-", - 21 days ago,https://pk.indeed.com/viewjob?cmp=Broadstone-technologies&t=Python+Developer&jk=0389eb8e7728d37f&vjs=3,"We are looking for a motivated individual, who is willing to take on challenging development assignments in Cyber Security, Artificial Intelligence, Machine Learning, Fintech, and Internet of Things (IoT) domains. If you are a self-starter, who can work with minimal supervision and ready to explore new opportunities in exciting new domains and work with a high-performance team, we want to talk to you.,Learn and work with a High-Performance Team on Latest Technologies: ,You will be exposed to the latest trends in Cyber Security, Machine Learning, Fintech, and IoT. You will have a chance to work on cutting edge systems that create an impact on the everyday lives of people.,Skills we are looking for: ,Technical skills: ,Job Type: Full-time,Experience:,Graduate degree from a reputable university with a major in Computer Science.,Passion for learning new technologies.,Good written and verbal communication skills.,Inquisitive individuals who want to learn.,Give your best effort and excel at what you do,Excellent time management skills.,Creative and out of the box thinker.,Strong grasp of algorithms and core foundations of programming and Computer Science.,Strong programming abilities in one of the following: Python, C, C++, Node.js, or Java.,Knowledge of JSON and XML.,Hands-on experience of RESTful Web Services.,Experience of Flask/Django and Nginx.,Experience with Linux.,Experience with full-stack development will be a strong plus.,Knowledge of Networking Protocols (TCP/IP) and Network Security will be a strong plus.,Experience with Raspberry Pi or Arduino will be a plus.,Experience developing software for ARM microprocessors will be a plus.,Experience with sklearn, Tensorflow, or PyTorch will be a plus,Knowledge of Cyber Security concepts will be a plus.,Domain expertise in any industry vertical (healthcare, finance, education) will be a plus.,Python: 1 year (Preferred)"
Python-Django Developer,"OneClout,-", - 4 days ago,https://pk.indeed.com/viewjob?cmp=OneClout&t=Python+Django+Developer&jk=0dfd71beb63481b9&vjs=3,"OneClout,, an IT technology consulting firm providing cutting-edge software solutions to the international clientele, is urgently looking for a ,Python web developer, for the development of ,back-end components, using scalable codes.,The ideal candidate should be able to gather and understand ,complex project requirements ,and implement necessary technologies in the development process.,In order to excel in this role, the candidate must have ,good communication skills ,and should be willing to work in a fast-paced environment.,Technical Requirements,Preferred,Job Type: Full-time,Python (Django),MySql,Java Script,AJAX,JQUERY,Bootstrap,JSON,CSS3,React JS/ Angular,PostgreSQL,MVC,Design Patterns,Content Management Systems (CMS)"
